key,number of ones,number of zeros,odds ratio
cube20_cluster8,2080,36241,0.7445636069243813
cube12_cluster3,11,193,0.7405518052230856
cube14_cluster5,555,10364,0.6954339015822801
cube23_cluster4,5,94,0.69113641431725
cube15_cluster4,509,9634,0.686137638855752
cube19_cluster7,43,825,0.6772025496249326
cube15_cluster6,111,2319,0.6218435667711267
cube21_cluster7,3240,69751,0.6006946308636234
cube22_cluster0,3209,69226,0.5994720584786545
cube28_cluster7,3209,69226,0.5994720584786545
cube29_cluster4,3209,69227,0.5994632956723162
cube19_cluster8,1,22,0.590609495378143
cube18_cluster0,1,22,0.590609495378143
cube25_cluster0,1,22,0.590609495378143
cube33_cluster3,1,22,0.590609495378143
cube26_cluster7,1,22,0.590609495378143
cube32_cluster0,1,22,0.590609495378143
cube34_cluster8,1,22,0.590609495378143
cube16_cluster0,45,999,0.5852482927089779
cube30_cluster0,45,999,0.5852482927089779
cube23_cluster0,45,999,0.5852482927089779
cube14_cluster0,963,21865,0.5713561784107324
cube15_cluster3,962,21858,0.5709450731471055
cube13_cluster3,964,21905,0.5709024316171124
cube22_cluster6,964,21932,0.5701969749270835
cube12_cluster2,14,334,0.544620635708846
cube26_cluster9,19,487,0.5069097596235856
cube34_cluster6,10,257,0.5055699488065697
cube36_cluster5,3,78,0.49974394204665623
cube12_cluster7,2,60,0.4331117856858389
cube12_cluster4,3,93,0.4191390098465495
cube36_cluster9,3,95,0.41031489095306417
cube35_cluster9,15,545,0.357595987181674
cube34_cluster7,15,546,0.3569409886907713
cube36_cluster3,8,375,0.27718035427443655
cube36_cluster8,1,85,0.15286199422896293
cube23_cluster8,0,93,0.0
cube36_cluster4,0,14,0.0
cube16_cluster3,0,92,0.0
cube23_cluster9,0,28,0.0
cube38_cluster0,0,8,0.0
cube38_cluster1,0,2,0.0
cube42_cluster0,0,14,0.0
cube42_cluster1,0,1,0.0
cube12_cluster8,0,16,0.0
cube23_cluster7,0,1,0.0
cube33_cluster7,0,3,0.0
cube35_cluster7,0,15,0.0
cube23_cluster5,0,98,0.0
cube23_cluster2,0,4,0.0
cube30_cluster3,0,92,0.0
cube16_cluster9,0,11,0.0
cube30_cluster6,0,1,0.0
cube30_cluster7,0,98,0.0
cube30_cluster8,0,28,0.0
cube30_cluster9,0,11,0.0
cube16_cluster8,0,28,0.0
cube16_cluster7,0,98,0.0
cube33_cluster5,0,1,0.0
cube16_cluster4,0,4,0.0
cube43_cluster0,0,14,0.0
