key,number of ones,number of zeros,odds ratio
cube9_cluster0,2,22,1.2097315834232811
cube4_cluster0,2,22,1.2097315834232811
cube8_cluster4,8680,96012,1.2071062817393545
cube3_cluster4,8680,96012,1.2071062817393545
cube3_cluster2,19778,221955,1.1944931688409863
cube8_cluster2,19778,221955,1.1944931688409863
cube7_cluster3,22545,256763,1.1774999640849175
cube2_cluster3,22545,256763,1.1774999640849175
cube6_cluster2,22559,257877,1.1729475789112058
cube1_cluster2,26127,301564,1.1625342981110274
cube7_cluster2,21576,256409,1.1259083942784154
cube2_cluster1,21576,256409,1.1259083942784154
cube12_cluster4,1856,22204,1.1127907928049596
cube13_cluster2,1591,19170,1.1047859652775878
cube12_cluster2,1591,19214,1.102247712494855
cube11_cluster1,1090,13165,1.1020122755074464
cube1_cluster1,17194,208651,1.1004940684710938
cube13_cluster3,1070,12949,1.0998276125254043
cube3_cluster1,15065,185839,1.0815185573662716
cube8_cluster1,15065,185839,1.0815185573662716
cube11_cluster3,2722,33552,1.080065128514519
cube6_cluster1,19747,256142,1.0271065921910174
cube7_cluster1,9255,128639,0.9564676024413268
cube2_cluster2,9256,128666,0.9563679312118856
cube6_cluster4,10151,141208,0.9555780250363797
cube12_cluster1,5668,82413,0.9140941282856595
cube14_cluster0,4,59,0.902171108678724
cube7_cluster4,11496,169642,0.899137000801916
cube2_cluster0,11496,169642,0.899137000801916
cube11_cluster4,4690,70881,0.8792044875468854
cube6_cluster3,13622,210632,0.8561471282881098
cube10_cluster0,4,63,0.8448898271356359
cube5_cluster0,4,63,0.8448898271356359
cube3_cluster3,5298,83392,0.8435321800901475
cube8_cluster3,5298,83392,0.8435321800901475
cube1_cluster0,5078,80123,0.8415418326757933
cube1_cluster4,8339,131765,0.8391173423676107
cube1_cluster3,11867,188747,0.8321270222624532
cube13_cluster0,3665,59425,0.819199808581669
cube11_cluster0,3883,63445,0.8127760195289473
cube12_cluster0,3909,63893,0.8124667433933986
cube8_cluster0,7192,119034,0.8007561132443205
cube3_cluster0,7192,119034,0.8007561132443205
cube7_cluster0,9654,163002,0.7833813491117857
cube2_cluster4,9654,163002,0.7833813491117857
cube13_cluster4,330,5753,0.7631326085649836
cube6_cluster0,2525,44964,0.7458142310886219
cube11_cluster2,3892,76358,0.6753989887647049
cube12_cluster3,3279,70125,0.6193969450362297
cube13_cluster1,3204,69133,0.6139139603863605
cube0_cluster0,1,27,0.4928520696653671
