key,number of ones,number of zeros,odds ratio
cube22_cluster0,2,3,8.817200674095313
cube41_cluster0,2,3,8.817200674095313
cube31_cluster0,2,3,8.817200674095313
cube32_cluster0,2,3,8.817200674095313
cube23_cluster1,2,3,8.817200674095313
cube40_cluster0,2,3,8.817200674095313
cube33_cluster0,6,17,4.667956695811912
cube34_cluster0,6,17,4.667956695811912
cube3_cluster0,7,53,1.7468080847975953
cube4_cluster0,7,53,1.7468080847975953
cube5_cluster0,7,53,1.7468080847975953
cube8_cluster0,7,53,1.7468080847975953
cube9_cluster0,7,53,1.7468080847975953
cube10_cluster0,7,53,1.7468080847975953
cube13_cluster1,7,53,1.7468080847975953
cube16_cluster1,5035,52104,1.2808259609085229
cube21_cluster1,5025,52171,1.2766024302286096
cube12_cluster0,2,21,1.259596734414254
cube11_cluster0,2,21,1.259596734414254
cube7_cluster0,2,21,1.259596734414254
cube6_cluster0,2,21,1.259596734414254
cube17_cluster0,2,21,1.259596734414254
cube14_cluster1,22941,263585,1.1582155682805146
cube20_cluster0,23875,274728,1.1567101764035816
cube15_cluster2,24969,290490,1.1438610519279138
cube25_cluster4,16533,198962,1.1023286808551278
cube20_cluster3,20168,253131,1.0559643971094064
cube19_cluster4,18832,236402,1.0556302643675308
cube24_cluster0,26635,335262,1.0535200104596185
cube14_cluster4,2795,35102,1.0533946374976482
cube18_cluster0,2697,33898,1.0525483099128048
cube23_cluster0,2697,33898,1.0525483099128048
cube13_cluster0,2697,33898,1.0525483099128048
cube25_cluster0,27433,346082,1.051120658344775
cube19_cluster1,28509,360120,1.0498051190789983
cube24_cluster4,2819,35545,1.0491789921104684
cube24_cluster3,19584,247442,1.048630947991151
cube24_cluster2,15144,191841,1.0453941794297332
cube23_cluster2,10,127,1.041398844971407
cube14_cluster2,19757,253901,1.0303209656091352
cube15_cluster3,4763,61416,1.0259403459894536
cube19_cluster3,5568,72111,1.0214515823857693
cube28_cluster0,1,13,1.0173658048555827
cube36_cluster0,1,13,1.0173658048555827
cube42_cluster0,1,13,1.0173658048555827
cube20_cluster1,9701,126172,1.0172175916403643
cube15_cluster1,24084,319668,0.9962605742201059
cube25_cluster3,18112,244308,0.9797856047015905
cube14_cluster3,17169,232327,0.9765973028667007
cube19_cluster2,14638,198487,0.9746438102882212
cube16_cluster4,1665,23035,0.9558306900500563
cube26_cluster1,11116,153969,0.9538451008878535
cube15_cluster4,9162,127841,0.9468980455108861
cube25_cluster2,5273,73957,0.9423764762955316
cube16_cluster0,5534,79572,0.9189328043936618
cube21_cluster2,1786,25783,0.9158592918290295
cube26_cluster0,1786,25811,0.9148619466988044
cube18_cluster3,11,162,0.8980428945576321
cube26_cluster3,4599,68584,0.8858426717760529
cube21_cluster3,5049,75718,0.8807340438616287
cube20_cluster4,10641,159625,0.879139653375469
cube26_cluster2,659,9961,0.8748279484347052
cube19_cluster0,6967,107249,0.8572070194613283
cube25_cluster1,7090,110099,0.84960235377575
cube15_cluster0,8201,128467,0.8417528130742159
cube16_cluster3,4238,67183,0.832910900786917
cube20_cluster2,10136,160768,0.8304794381961224
cube24_cluster1,10251,163252,0.8270002842609517
cube21_cluster0,2520,41139,0.8092105747645415
cube26_cluster4,2516,41099,0.808710886139097
cube21_cluster4,6295,104602,0.7933817488833763
cube14_cluster0,8516,142929,0.7844169566790999
cube16_cluster2,3599,68563,0.6920712453335578
cube18_cluster4,1,20,0.6612870867726051
cube23_cluster4,1,20,0.6612870867726051
cube13_cluster2,1,20,0.6612870867726051
cube13_cluster3,13,275,0.6252079550335113
cube1_cluster0,3,78,0.508679994828721
cube2_cluster0,3,78,0.508679994828721
cube0_cluster0,3,78,0.508679994828721
cube27_cluster0,1,32,0.41330369382195997
cube33_cluster1,1,32,0.41330369382195997
cube34_cluster1,1,32,0.41330369382195997
cube35_cluster0,1,32,0.41330369382195997
cube23_cluster3,3,148,0.26808532273588354
cube18_cluster1,2,113,0.23408115557847634
cube18_cluster2,0,3,0.0
cube13_cluster4,0,3,0.0
