,key,number of ones,number of zeros,odds ratio
20,cube7_cluster4,413,5300,1.0449103107204394
0,cube0_cluster0,6,77,1.0447851574296365
21,cube8_cluster0,17055,224725,1.019230638209173
16,cube7_cluster0,17055,224725,1.019230638209173
7,cube5_cluster1,17056,224747,1.0191870299610721
12,cube6_cluster1,21710,287396,1.0144317425733473
25,cube8_cluster4,2605,34760,1.0048973610694372
11,cube6_cluster0,15743,210468,1.0031747564673104
19,cube7_cluster3,2213,29682,0.9996604490255312
6,cube5_cluster0,14784,198450,0.9987733376709754
10,cube5_cluster4,6747,90630,0.998105747405253
13,cube6_cluster2,17476,235030,0.9966831690674584
9,cube5_cluster3,15016,202405,0.9942820566801485
23,cube8_cluster2,5707,77339,0.9890932659551651
15,cube6_cluster4,7984,108361,0.9873927600248967
17,cube7_cluster1,4929,67409,0.9799079253690792
14,cube6_cluster3,9868,134897,0.979822380769683
22,cube8_cluster1,4986,68262,0.9788195624298164
8,cube5_cluster2,9095,124976,0.9745908127829715
24,cube8_cluster3,3802,52856,0.9637632360482721
18,cube7_cluster2,3790,52756,0.9625199616431379
1,cube1_cluster0,1,23,0.5829569713537527
4,cube3_cluster1,1,23,0.5829569713537527
5,cube4_cluster0,1,34,0.3943516117036381
3,cube3_cluster0,1,34,0.3943516117036381
2,cube2_cluster0,1,34,0.3943516117036381
